OID_,Value,Count,Clip_OutRaster_LC16_BPS_200_tif,LC20_SCla_220,BPS_MODEL,BPS_NAME,LABEL
88,88,3.000000000000000,1887,1,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,A
89,89,227.000000000000000,1882,120,13690_60_61_63_64_65_66,Central Appalachian Dry Oak-Pine Forest,Developed
90,90,161.000000000000000,1882,1,13690_60_61_63_64_65_66,Central Appalachian Dry Oak-Pine Forest,A
91,91,98.000000000000000,1875,1,13200_48_57_61,Central and Southern Appalachian Montane Oak Forest,A
92,92,19.000000000000000,1885,2,13770_60_61_63_64_65_66,Central Appalachian Pine-Oak Rocky Woodland,B
93,93,13.000000000000000,1879,4,13520_53_54_57_59_60_61,Southern Appalachian Montane Pine Forest and Woodland,D
94,94,1139.000000000000000,1884,5,13760_48_53_57_61,Southern Ridge and Valley/Cumberland Dry Calcareous Forest,E
95,95,10.000000000000000,1879,7,13520_53_54_57_59_60_61,Southern Appalachian Montane Pine Forest and Woodland,UE
96,96,167.000000000000000,1889,6,14790_60_61_63_64_65_66,Central Interior and Appalachian Swamp Systems,UN
97,97,93.000000000000000,1873,1,13170_57_61,Allegheny-Cumberland Dry Oak Forest and Woodland,A
98,98,6.000000000000000,1870,2,13030_61_63_64_65_66,Northeastern Interior Dry-Mesic Oak Forest,B
99,99,5.000000000000000,1882,6,13690_60_61_63_64_65_66,Central Appalachian Dry Oak-Pine Forest,UN
100,100,22.000000000000000,1884,4,13760_48_53_57_61,Southern Ridge and Valley/Cumberland Dry Calcareous Forest,D
101,101,22.000000000000000,1870,6,13030_61_63_64_65_66,Northeastern Interior Dry-Mesic Oak Forest,UN
102,102,1741.000000000000000,1884,6,13760_48_53_57_61,Southern Ridge and Valley/Cumberland Dry Calcareous Forest,UN
103,103,201.000000000000000,1884,7,13760_48_53_57_61,Southern Ridge and Valley/Cumberland Dry Calcareous Forest,UE
104,104,8.000000000000000,1879,180,13520_53_54_57_59_60_61,Southern Appalachian Montane Pine Forest and Woodland,Agriculture
105,105,1.000000000000000,1889,1,14790_60_61_63_64_65_66,Central Interior and Appalachian Swamp Systems,A
106,106,151.000000000000000,1884,120,13760_48_53_57_61,Southern Ridge and Valley/Cumberland Dry Calcareous Forest,Developed
107,107,1.000000000000000,1884,2,13760_48_53_57_61,Southern Ridge and Valley/Cumberland Dry Calcareous Forest,B
108,108,105.000000000000000,1884,180,13760_48_53_57_61,Southern Ridge and Valley/Cumberland Dry Calcareous Forest,Agriculture
109,109,3.000000000000000,1879,120,13520_53_54_57_59_60_61,Southern Appalachian Montane Pine Forest and Woodland,Developed
110,110,7.000000000000000,1870,1,13030_61_63_64_65_66,Northeastern Interior Dry-Mesic Oak Forest,A
111,111,23.000000000000000,1884,3,13760_48_53_57_61,Southern Ridge and Valley/Cumberland Dry Calcareous Forest,C
